,X,Y,Z,n_points_0.01,corr_dim_0.01
98,-0.062465,-0.005675,-0.031269,98,4.822715383145668e-07
99,-0.063328,-0.007944,-0.031684,80,3.936910516853607e-07
100,-0.064605,-0.006972,-0.027777,84,4.133756042696287e-07
101,0.010173,-0.015888,-0.088032,68,3.3463739393255654e-07
102,-0.063077,-0.008014,-0.029691,80,3.936910516853607e-07
103,-0.061067,-0.006041,-0.036706,84,4.133756042696287e-07
104,-0.064136,-0.001838,-0.026258,107,5.265617816291699e-07
105,0.034326,0.02246,0.049323,89,4.3798129499996373e-07
106,-0.063361,0.002352,-0.026227,114,5.610097486516389e-07
107,-0.063931,0.002046,-0.03038,122,6.00378853820175e-07
108,-0.063261,-0.002012,-0.03364,112,5.511674723595049e-07
109,-0.061266,0.001003,-0.036992,130,6.397479589887111e-07
110,0.00477,-0.019606,-0.084673,79,3.887699135392936e-07
111,-0.061814,-0.003984,-0.038069,97,4.773504001684998e-07
112,0.006119,-0.017486,-0.087214,79,3.887699135392936e-07
113,-0.061834,-0.004358,-0.037005,94,4.625869857302988e-07
114,-0.052436,-0.01395,-0.055301,65,3.198739794943556e-07
115,-0.054149,-0.0129,-0.054596,67,3.297162557864896e-07
116,-0.053123,-0.012068,-0.056635,80,3.936910516853607e-07
117,-0.051125,-0.012629,-0.057565,72,3.543219465168246e-07
118,-0.060381,-0.005312,-0.044317,103,5.068772290449018e-07
119,-0.060747,-0.001148,-0.043,117,5.757731630898399e-07
120,-0.048027,-0.011914,-0.065834,75,3.690853609550256e-07
121,-0.047685,-0.013245,-0.067212,79,3.887699135392936e-07
122,-0.047985,-0.014193,-0.064942,76,3.740064991010926e-07
123,-0.046625,-0.018928,-0.061764,59,2.9034715061795346e-07
124,-0.031519,0.004824,-0.090751,119,5.856154393819739e-07
125,-0.018458,0.022014,0.057381,110,5.413251960673709e-07
126,-0.030909,0.022815,0.062819,121,5.95457715674108e-07
127,0.020656,-0.019233,-0.08896,46,2.2637235471908242e-07
128,-0.032712,0.00408,-0.090387,108,5.314829197752368e-07
129,-0.044754,-0.019434,-0.063825,65,3.198739794943556e-07
130,-0.04076,-0.023441,-0.06673,59,2.9034715061795346e-07
131,-0.002387,-0.027357,-0.085501,73,3.592430846628916e-07
132,-0.034089,-0.021775,-0.079609,79,3.887699135392936e-07
133,-0.021634,-0.024935,-0.0782,73,3.592430846628916e-07
134,-0.0324,0.009081,-0.087607,139,6.840382023033142e-07
135,-0.011748,0.023401,0.059216,102,5.019560908988348e-07
136,-0.029729,0.023774,0.061968,112,5.511674723595049e-07
137,-0.02641,0.024924,0.057916,122,6.00378853820175e-07
138,-0.010783,-0.008542,-0.094639,152,7.480129982021852e-07
139,-0.011805,-0.005012,-0.097577,154,7.578552744943193e-07
140,-0.01568,-0.006057,-0.094129,142,6.988016167415151e-07
141,-0.059514,-0.008874,-0.038022,69,3.395585320786236e-07
142,-0.030337,0.026328,0.05861,115,5.65930886797706e-07
143,-0.012033,-0.013653,-0.092818,137,6.741959260111801e-07
144,-0.013896,-0.008665,-0.094354,145,7.135650311797162e-07
145,-0.015766,-0.012389,-0.091532,124,6.102211301123089e-07
146,-0.020365,-0.012499,-0.08948,109,5.364040579213038e-07
147,-0.033956,-0.032619,-0.076472,27,1.328707299438092e-07
148,-0.016566,-0.016282,-0.090603,96,4.7242926202243285e-07
149,-0.018389,-0.013138,-0.089033,109,5.364040579213038e-07
150,-0.001703,0.024141,0.072843,82,4.0353332797749467e-07
151,-0.042573,-0.020894,-0.053245,30,1.4763414438201025e-07
152,-0.024403,-0.024839,-0.079677,71,3.494008083707576e-07
153,-0.028705,0.011691,-0.088333,143,7.037227548875821e-07
154,-0.018978,-0.021188,-0.082365,67,3.297162557864896e-07
155,-0.01221,0.023493,0.071559,85,4.182967424156957e-07
156,-0.013137,-0.022787,-0.082899,61,3.001894269100875e-07
157,-0.015603,-0.026097,-0.077802,65,3.198739794943556e-07
158,-0.013512,-0.020429,-0.083547,64,3.149528413482885e-07
159,-0.004942,-0.027429,-0.088937,74,3.6416422280895857e-07
160,-0.017912,-0.032749,-0.001728,1,4.921138146067008e-09
161,-0.013744,-0.032104,-0.073049,29,1.4271300623594326e-07
162,0.013167,-0.029627,-0.065834,5,2.4605690730335044e-08
163,0.006632,-0.026854,-0.082833,46,2.2637235471908242e-07
164,-0.001726,-0.025998,-0.085807,78,3.838487753932266e-07
165,0.002392,-0.01854,-0.087752,88,4.330601568538967e-07
166,0.001417,-0.019522,-0.087608,87,4.281390187078297e-07
167,0.051119,-0.010967,-0.088004,93,4.5766584758423173e-07
168,-0.003922,0.001516,-0.099198,149,7.332495837639842e-07
169,-0.014365,0.019776,0.092977,110,5.413251960673709e-07
170,-0.013955,0.023735,0.071175,92,4.5274470943816485e-07
171,-0.026108,0.009156,-0.090063,146,7.184861693257832e-07
172,-0.002872,-0.005773,-0.095588,144,7.086438930336492e-07
173,-0.033573,0.015118,-0.086794,114,5.610097486516389e-07
174,0.001269,-0.022493,-0.088193,86,4.2321788056176267e-07
175,-0.001507,-0.008506,-0.096138,132,6.49590235280845e-07
176,0.008747,-0.016156,-0.09097,63,3.100317032022215e-07
177,0.04367,-0.007117,-0.097233,132,6.49590235280845e-07
178,0.009669,0.000523,-0.094209,157,7.726186889325202e-07
179,0.050508,-1.4e-05,-0.078596,117,5.757731630898399e-07
180,0.012011,0.002022,-0.093288,155,7.627764126403862e-07
181,0.021224,0.000599,-0.090871,167,8.218300703931903e-07
182,0.015034,0.001278,-0.093593,160,7.873821033707213e-07
183,0.009865,-0.000512,-0.095736,167,8.218300703931903e-07
184,0.018699,0.001229,-0.092778,167,8.218300703931903e-07
185,-0.011459,0.023012,0.081003,79,3.887699135392936e-07
186,-0.007304,0.023127,0.077621,82,4.0353332797749467e-07
187,0.017589,-0.00053,-0.092846,164,8.070666559549893e-07
188,-0.001139,-0.003251,-0.099624,155,7.627764126403862e-07
189,-0.002983,-0.002399,-0.099919,158,7.775398270785872e-07
