,X,Y,Z,n_points_0.01,corr_dim_0.01
89,0.029064,0.045944,-0.009108,180,9.49854259639369e-07
90,0.02767,0.045194,-0.010236,183,9.656851639666918e-07
91,0.028822,0.045217,-0.010738,183,9.656851639666918e-07
92,0.030144,0.045703,-0.010507,181,9.551312277484767e-07
93,0.02277,0.039727,-0.006268,117,6.174052687655898e-07
94,0.021724,0.039522,-0.006285,114,6.015743644382671e-07
95,0.020264,0.03934,-0.00631,116,6.121283006564823e-07
96,0.022199,0.039425,-0.007884,122,6.437901093111279e-07
97,0.018768,0.039713,-0.007367,127,6.70174949856666e-07
98,0.016894,0.039596,-0.005006,118,6.226822368746975e-07
99,0.018517,0.039597,-0.005582,114,6.015743644382671e-07
100,0.017256,0.040109,-0.006616,127,6.70174949856666e-07
101,0.017653,0.041668,-0.004126,138,7.282215990568496e-07
102,0.017683,0.040007,-0.003868,115,6.068513325473746e-07
103,0.016189,0.041319,-0.002454,131,6.912828222930964e-07
104,0.018195,0.04826,-0.005821,164,8.654227698936473e-07
105,0.017629,0.046559,-0.005149,171,9.023615466574006e-07
106,0.016259,0.047153,-0.00404,181,9.551312277484767e-07
107,0.018527,0.03983,-0.004778,119,6.27959204983805e-07
108,0.019258,0.040146,-0.00459,122,6.437901093111279e-07
109,0.022595,0.043358,-0.007068,165,8.70699738002755e-07
110,0.021228,0.04241,-0.006051,149,7.862682482570332e-07
111,0.020052,0.043834,-0.00673,167,8.812536742209702e-07
112,0.023187,0.041993,-0.006244,144,7.598834077114953e-07
113,0.021501,0.040664,-0.005477,125,6.596210136384508e-07
114,0.019542,0.042186,-0.005275,147,7.75714312038818e-07
115,0.021409,0.047592,-0.008072,190,1.0026239407304452e-06
116,0.024122,0.04772,-0.009007,191,1.0079009088395526e-06
117,0.022061,0.045234,-0.008146,191,1.0079009088395526e-06
118,0.017676,0.043519,-0.004955,159,8.390379293481093e-07
119,0.018961,0.046645,-0.006172,180,9.49854259639369e-07
120,0.019824,0.047514,-0.006847,187,9.867930364031222e-07
121,0.0199,0.045947,-0.007211,186,9.815160682940148e-07
122,0.018211,0.045299,-0.00611,175,9.23469419093831e-07
123,0.01656,0.045155,-0.004604,180,9.49854259639369e-07
124,0.014389,0.047911,-0.001907,173,9.129154828756158e-07
125,0.016674,0.049591,-0.004099,141,7.440525033841724e-07
126,0.025126,0.044415,-0.007728,185,9.762391001849071e-07
127,0.020264,0.03934,-0.00631,116,6.121283006564823e-07
128,0.019336,0.039605,-0.005535,114,6.015743644382671e-07
129,0.020202,0.049766,-0.007093,125,6.596210136384508e-07
130,0.025927,0.046563,-0.008513,188,9.920700045122299e-07
131,0.015936,0.043342,-0.003561,161,8.495918655663245e-07
132,0.014534,0.045191,-0.00257,174,9.181924509847234e-07
133,0.018768,0.039713,-0.007367,127,6.70174949856666e-07
134,0.013091,0.047998,0.000448,168,8.865306423300778e-07
135,0.01341,0.047079,-0.000604,173,9.129154828756158e-07
136,0.027519,0.048412,-0.008619,177,9.340233553120462e-07
137,0.014446,0.04275,-0.001959,145,7.651603758206028e-07
138,0.013489,0.045921,-0.00082,163,8.601458017845398e-07
139,-0.025737,0.042594,-0.035323,173,9.129154828756158e-07
140,-0.027821,0.042114,-0.034895,162,8.548688336754321e-07
141,-0.026409,0.042896,-0.03355,179,9.445772915302614e-07
142,-0.01976,0.045574,-0.036513,163,8.601458017845398e-07
143,-0.021257,0.044852,-0.037356,160,8.443148974572169e-07
144,-0.021181,0.04495,-0.03548,168,8.865306423300778e-07
145,-0.024587,0.04225,-0.036198,170,8.97084578548293e-07
146,-0.026334,0.041996,-0.036918,168,8.865306423300778e-07
147,-0.021479,0.049262,-0.027858,147,7.75714312038818e-07
148,-0.022654,0.04876,-0.029133,153,8.073761206934637e-07
149,-0.022875,0.048949,-0.027334,146,7.704373439297105e-07
150,-0.022143,0.043439,-0.03804,169,8.918076104391854e-07
151,-0.022521,0.041755,-0.038379,167,8.812536742209702e-07
152,-0.023512,0.042339,-0.037225,173,9.129154828756158e-07
153,-0.029378,0.041863,-0.033155,159,8.390379293481093e-07
154,-0.027802,0.042367,-0.03358,165,8.70699738002755e-07
155,-0.027992,0.042927,-0.032336,175,9.23469419093831e-07
156,-0.024264,0.046022,-0.030871,155,8.179300569116789e-07
157,-0.026249,0.047569,-0.030071,166,8.759767061118626e-07
158,-0.023625,0.047601,-0.030281,155,8.179300569116789e-07
159,-0.024247,0.048859,-0.028686,157,8.284839931298941e-07
160,-0.025847,0.049136,-0.029176,156,8.232070250207865e-07
161,-0.025053,0.048476,-0.029741,161,8.495918655663245e-07
162,-0.024362,0.043118,-0.034167,180,9.49854259639369e-07
163,-0.027303,0.048911,-0.027967,161,8.495918655663245e-07
164,-0.025447,0.04975,-0.027204,157,8.284839931298941e-07
165,-0.019703,0.045183,-0.037791,150,7.915452163661409e-07
166,-0.0226,0.044027,-0.036585,175,9.23469419093831e-07
167,-0.022607,0.043887,-0.034742,179,9.445772915302614e-07
168,-0.025052,0.043745,-0.032622,177,9.340233553120462e-07
169,-0.023782,0.045017,-0.032795,176,9.287463872029386e-07
170,-0.023392,0.043113,-0.036023,179,9.445772915302614e-07
171,-0.026846,0.037529,-0.037206,141,7.440525033841724e-07
172,-0.028942,0.038342,-0.03668,140,7.387755352750648e-07
173,-0.027656,0.039122,-0.037349,148,7.809912801479257e-07
174,-0.024696,0.042956,-0.035404,170,8.97084578548293e-07
175,-0.023814,0.042988,-0.0353,173,9.129154828756158e-07
176,-0.021781,0.046663,-0.033916,158,8.337609612390017e-07
177,-0.028841,0.041564,-0.036536,149,7.862682482570332e-07
178,-0.027332,0.040586,-0.037933,150,7.915452163661409e-07
179,-0.022989,0.046442,-0.03201,152,8.020991525843561e-07
180,-0.021802,0.047591,-0.031662,153,8.073761206934637e-07
181,-0.029738,0.039945,-0.037005,135,7.123906947295268e-07
182,-0.024766,0.04086,-0.038386,162,8.548688336754321e-07
183,-0.027544,0.046345,-0.030734,173,9.129154828756158e-07
184,-0.025752,0.045181,-0.031362,168,8.865306423300778e-07
185,-0.027897,0.044909,-0.031623,173,9.129154828756158e-07
186,-0.021091,0.042742,-0.03885,162,8.548688336754321e-07
187,-0.020414,0.044225,-0.038678,154,8.126530888025713e-07
188,-0.030025,0.041476,-0.034804,152,8.020991525843561e-07
189,-0.02564,0.038796,-0.038096,149,7.862682482570332e-07
190,-0.01821,0.044807,-0.038617,155,8.179300569116789e-07
191,-0.02485,0.041782,-0.037218,169,8.918076104391854e-07
192,-0.028181,0.037067,-0.036741,136,7.176676628386344e-07
193,-0.026408,0.043521,-0.031804,173,9.129154828756158e-07
194,-0.023616,0.03893,-0.039356,155,8.179300569116789e-07
195,-0.024766,0.04086,-0.038386,162,8.548688336754321e-07
196,-0.022905,0.040575,-0.039261,155,8.179300569116789e-07
197,-0.02564,0.038796,-0.038096,149,7.862682482570332e-07
198,-0.027472,0.033133,-0.038898,116,6.121283006564823e-07
199,-0.02511,0.03145,-0.039542,110,5.804664920018367e-07
200,-0.026815,0.030135,-0.03936,107,5.646355876745138e-07
201,-0.022521,0.041755,-0.038379,167,8.812536742209702e-07
202,-0.017909,0.038159,-0.039647,158,8.337609612390017e-07
203,-0.016983,0.036526,-0.039721,148,7.809912801479257e-07
204,-0.018954,0.036458,-0.039557,158,8.337609612390017e-07
205,-0.028181,0.037067,-0.036741,136,7.176676628386344e-07
206,-0.026846,0.037529,-0.037206,141,7.440525033841724e-07
207,-0.02731,0.036522,-0.036789,132,6.965597904022039e-07
208,-0.019524,0.035539,-0.039745,145,7.651603758206028e-07
209,-0.020606,0.034695,-0.040359,131,6.912828222930964e-07
210,-0.020753,0.035194,-0.039222,139,7.334985671659572e-07
211,-0.023232,0.032353,-0.039691,111,5.857434601109442e-07
212,-0.022689,0.03383,-0.039646,122,6.437901093111279e-07
213,-0.021056,0.032507,-0.040814,114,6.015743644382671e-07
214,-0.020848,0.038476,-0.039562,161,8.495918655663245e-07
215,-0.019887,0.040236,-0.039607,159,8.390379293481093e-07
216,-0.018797,0.039551,-0.039371,156,8.232070250207865e-07
217,-0.023626,0.035026,-0.038749,137,7.22944630947742e-07
218,-0.025978,0.03462,-0.038107,127,6.70174949856666e-07
219,-0.02459,0.035717,-0.037606,138,7.282215990568496e-07
220,-0.01638,0.037611,-0.040159,153,8.073761206934637e-07
221,-0.018408,0.036057,-0.040131,141,7.440525033841724e-07
222,-0.025098,0.037038,-0.037724,145,7.651603758206028e-07
223,-0.020926,0.04131,-0.039255,161,8.495918655663245e-07
224,-0.021766,0.039798,-0.039787,158,8.337609612390017e-07
225,-0.020206,0.035843,-0.038948,152,8.020991525843561e-07
226,-0.020414,0.044225,-0.038678,154,8.126530888025713e-07
227,-0.01821,0.044807,-0.038617,155,8.179300569116789e-07
228,-0.01899,0.043174,-0.039555,153,8.073761206934637e-07
229,-0.021091,0.042742,-0.03885,162,8.548688336754321e-07
230,-0.028468,0.036157,-0.036828,134,7.071137266204191e-07
231,-0.026436,0.035813,-0.036804,134,7.071137266204191e-07
232,-0.02474,0.033453,-0.038904,118,6.226822368746975e-07
233,-0.015327,0.038751,-0.040672,153,8.073761206934637e-07
234,-0.02436,0.037801,-0.038564,147,7.75714312038818e-07
235,-0.020477,0.036894,-0.039234,154,8.126530888025713e-07
236,-0.029169,0.031246,-0.038573,106,5.593586195654063e-07
237,-0.030651,0.033273,-0.03771,118,6.226822368746975e-07
238,-0.021994,0.03486,-0.039208,137,7.22944630947742e-07
239,-0.018906,0.041559,-0.039831,153,8.073761206934637e-07
240,-0.018679,0.035813,-0.041235,131,6.912828222930964e-07
241,-0.017676,0.036333,-0.040619,143,7.546064396023876e-07
242,-0.023042,0.03683,-0.038462,153,8.073761206934637e-07
243,-0.015679,0.039764,-0.039556,158,8.337609612390017e-07
244,-0.018152,0.040734,-0.039758,155,8.179300569116789e-07
245,-0.0169,0.042093,-0.03978,156,8.232070250207865e-07
246,-0.017002,0.040288,-0.03925,158,8.337609612390017e-07
247,-0.021667,0.035673,-0.038513,149,7.862682482570332e-07
248,-0.029066,0.028825,-0.038528,107,5.646355876745138e-07
249,-0.030712,0.026805,-0.03795,107,5.646355876745138e-07
250,-0.031354,0.030134,-0.037684,107,5.646355876745138e-07
251,-0.028351,0.03505,-0.037871,125,6.596210136384508e-07
252,-0.035092,0.04559,-0.031901,158,8.337609612390017e-07
253,-0.033163,0.046343,-0.031209,158,8.337609612390017e-07
254,-0.033418,0.044494,-0.03138,157,8.284839931298941e-07
255,-0.034517,0.047173,-0.031249,153,8.073761206934637e-07
256,-0.036086,0.047345,-0.031208,154,8.126530888025713e-07
257,-0.034923,0.048063,-0.030041,155,8.179300569116789e-07
258,-0.033995,0.048028,-0.029317,162,8.548688336754321e-07
259,-0.033357,0.048796,-0.028435,167,8.812536742209702e-07
260,-0.032721,0.047604,-0.02984,160,8.443148974572169e-07
261,-0.04347,0.047136,-0.028085,143,7.546064396023876e-07
262,-0.041767,0.046919,-0.028387,153,8.073761206934637e-07
263,-0.043529,0.045226,-0.029146,144,7.598834077114953e-07
264,-0.041231,0.041594,-0.030336,144,7.598834077114953e-07
265,-0.043223,0.04247,-0.030331,141,7.440525033841724e-07
266,-0.041653,0.044346,-0.029988,156,8.232070250207865e-07
267,-0.032046,0.045203,-0.031466,160,8.443148974572169e-07
268,-0.038091,0.049121,-0.027327,169,8.918076104391854e-07
269,-0.03791,0.046535,-0.028949,168,8.865306423300778e-07
270,-0.039761,0.046184,-0.029217,160,8.443148974572169e-07
271,-0.031142,0.048268,-0.028414,165,8.70699738002755e-07
272,-0.03089,0.046665,-0.030854,165,8.70699738002755e-07
273,-0.027901,0.048126,-0.029187,169,8.918076104391854e-07
274,-0.026249,0.047569,-0.030071,166,8.759767061118626e-07
275,-0.028915,0.047713,-0.030093,172,9.076385147665082e-07
276,-0.034963,0.048496,-0.028075,167,8.812536742209702e-07
277,-0.029203,0.048809,-0.028483,167,8.812536742209702e-07
278,-0.040179,0.043545,-0.029954,156,8.232070250207865e-07
279,-0.038532,0.043569,-0.029309,162,8.548688336754321e-07
280,-0.039902,0.041908,-0.029706,151,7.968221844752485e-07
281,-0.040493,0.048296,-0.027506,158,8.337609612390017e-07
282,-0.029257,0.050162,-0.026935,160,8.443148974572169e-07
283,-0.027303,0.048911,-0.027967,161,8.495918655663245e-07
284,-0.036138,0.048261,-0.029592,164,8.654227698936473e-07
285,-0.036375,0.044182,-0.031843,164,8.654227698936473e-07
286,-0.036945,0.045691,-0.031322,164,8.654227698936473e-07
287,-0.03024,0.049372,-0.027728,161,8.495918655663245e-07
288,-0.036695,0.048156,-0.028312,174,9.181924509847234e-07
289,-0.037184,0.047131,-0.030024,161,8.495918655663245e-07
290,-0.037417,0.043766,-0.030825,167,8.812536742209702e-07
291,-0.037636,0.045308,-0.030025,167,8.812536742209702e-07
292,-0.030967,0.044899,-0.031098,166,8.759767061118626e-07
293,-0.032039,0.0438,-0.030822,161,8.495918655663245e-07
294,-0.028923,0.046014,-0.03061,166,8.759767061118626e-07
295,-0.029751,0.044946,-0.031077,175,9.23469419093831e-07
296,-0.027544,0.046345,-0.030734,173,9.129154828756158e-07
297,-0.034968,0.043114,-0.032066,157,8.284839931298941e-07
298,-0.042561,0.048039,-0.027234,153,8.073761206934637e-07
299,-0.033857,0.047244,-0.030322,161,8.495918655663245e-07
300,-0.041483,0.047827,-0.027457,155,8.179300569116789e-07
301,-0.044487,0.043631,-0.029845,139,7.334985671659572e-07
302,-0.04551,0.043384,-0.030267,133,7.018367585113116e-07
303,-0.045462,0.04495,-0.029877,133,7.018367585113116e-07
304,-0.045224,0.046589,-0.028459,131,6.912828222930964e-07
305,-0.036646,0.0426,-0.031543,164,8.654227698936473e-07
306,-0.037938,0.041315,-0.030758,153,8.073761206934637e-07
307,-0.035545,0.0503,-0.026444,166,8.759767061118626e-07
308,-0.034773,0.049846,-0.026817,173,9.129154828756158e-07
309,-0.034113,0.049775,-0.027382,161,8.495918655663245e-07
310,-0.03281,0.050119,-0.027387,162,8.548688336754321e-07
311,-0.031209,0.050224,-0.027079,164,8.654227698936473e-07
312,0.010537,0.043713,-0.030549,110,5.804664920018367e-07
313,0.009554,0.044597,-0.028835,107,5.646355876745138e-07
314,0.011297,0.043779,-0.028876,108,5.699125557836215e-07
315,0.020207,0.038361,-0.036655,132,6.965597904022039e-07
