,X,Y,Z,n_points_0.01,corr_dim_0.01
0,0.010046,0.013724,-0.000123,347,1.4891411249817478e-06
1,0.004612,-0.039928,-0.016816,83,3.561922575604757e-07
2,0.011485,0.015146,0.003008,369,1.5835535306001872e-06
3,-0.007359,-0.03963,-0.013167,107,4.591876091442277e-07
4,0.010955,0.015058,0.004483,357,1.5320558548083111e-06
5,-0.008849,-0.037905,-0.014192,181,7.767566098607964e-07
6,0.007297,0.015926,0.000887,240,1.02995351583752e-06
7,0.010153,0.015214,0.003325,343,1.4719752330511226e-06
8,0.009712,0.014801,0.004272,363,1.5578046927042493e-06
9,0.015504,0.014053,0.005671,363,1.5578046927042493e-06
10,0.007715,0.014974,0.000823,261,1.120074448473303e-06
11,0.006864,0.014286,0.001565,258,1.107200029525334e-06
12,0.010217,0.01448,0.005717,374,1.6050108955134687e-06
13,0.011696,0.014739,0.005404,372,1.5964279495481562e-06
14,0.016839,0.007873,0.017206,505,2.1671938562414484e-06
15,0.012944,0.014067,0.005619,378,1.6221767874440942e-06
16,-0.012446,-0.018644,-0.007668,234,1.0042046779415821e-06
17,0.014371,0.013832,0.005012,392,1.682257409201283e-06
18,0.013537,0.014081,0.005023,383,1.643634152357376e-06
19,0.012385,0.014538,0.005613,374,1.6050108955134687e-06
20,0.012672,0.014999,0.004452,372,1.5964279495481562e-06
21,-0.012522,-0.036806,-0.005614,160,6.866356772250134e-07
22,-0.012156,-0.036295,-0.002242,146,6.265550554678247e-07
23,-4.1e-05,-0.038293,0.005817,83,3.561922575604757e-07
24,0.008295,0.03099,-0.004695,462,1.982660517987226e-06
25,0.022037,0.00276,0.018153,466,1.9998264099178516e-06
26,0.022028,0.008902,0.018973,392,1.682257409201283e-06
27,0.011943,0.013,8e-06,388,1.6650915172706575e-06
28,0.013605,0.013498,0.005768,379,1.6264682604267505e-06
29,0.012654,0.012954,0.006008,393,1.6865488821839393e-06
30,0.008847,0.014699,0.000576,302,1.2960248407622128e-06
31,0.009587,0.014394,0.000385,328,1.4076031383112774e-06
32,-0.010941,-0.038123,-0.007031,132,5.664744337106361e-07
33,0.012572,0.01185,0.006047,403,1.7294636120105024e-06
34,0.011197,0.012118,0.006693,428,1.8367504365769109e-06
35,0.011774,0.010691,0.006759,441,1.8925395853514433e-06
36,0.013801,0.010659,0.007497,442,1.8968310583340994e-06
37,0.012873,0.010262,0.007464,461,1.97836904500457e-06
38,0.014531,-0.030746,-0.013541,52,2.2315659509812935e-07
39,0.014296,0.010362,0.009678,472,2.0255752478137897e-06
40,0.01359,0.012724,0.006811,381,1.6350512063920632e-06
41,0.013385,0.011121,0.006653,434,1.8624992744728488e-06
42,0.020878,0.01112,0.006708,379,1.6264682604267505e-06
43,0.013944,0.012864,0.00265,451,1.9354543151780064e-06
44,0.018182,0.012669,0.009092,369,1.5835535306001872e-06
45,0.014614,0.012459,0.002819,459,1.9697860990392573e-06
46,0.021755,0.011722,0.006445,354,1.5191814358603423e-06
47,0.013509,0.01203,0.001212,439,1.8839566393861306e-06
48,0.017942,0.013041,0.010179,369,1.5835535306001872e-06
49,0.012559,0.012299,-0.000239,397,1.7037147741145645e-06
50,0.025504,-0.013041,-0.02567,287,1.2316527460223677e-06
51,0.013806,0.010132,-0.000133,404,1.7337550849931588e-06
52,0.01187,0.011704,-0.002563,363,1.5578046927042493e-06
53,0.006562,0.009086,0.003039,301,1.2917333677795565e-06
54,0.015307,-0.006386,-0.023771,208,8.926263803925174e-07
55,0.015736,0.012604,0.004089,429,1.8410419095595672e-06
56,0.014846,0.01221,0.001858,465,1.9955349369351954e-06
57,0.013111,0.011217,0.000227,407,1.7466295039411278e-06
58,0.01639,0.011865,0.003361,451,1.9354543151780064e-06
59,0.015914,-0.014154,-0.026868,256,1.0986170835600215e-06
60,0.01548,0.012453,0.002796,460,1.9740775720219134e-06
61,0.02025,0.011315,0.003186,401,1.72088066604519e-06
62,0.021645,0.012354,0.001821,371,1.5921364765654999e-06
63,0.018407,0.011686,0.001064,467,2.0041178829005077e-06
64,0.016357,-0.014898,-0.027468,264,1.1329488674212722e-06
65,0.017004,0.01344,0.010919,374,1.6050108955134687e-06
66,0.017067,0.013193,0.009952,374,1.6050108955134687e-06
67,0.017498,-0.029705,-0.030377,218,9.355411102190808e-07
68,0.016249,0.01156,-0.007148,390,1.6736744632359702e-06
69,0.015561,-0.031614,-0.027795,180,7.724651368781401e-07
70,0.013786,-0.033419,-0.028099,163,6.995100961729824e-07
71,0.017797,0.014254,-0.005994,435,1.8667907474555052e-06
72,0.016581,0.018189,-0.006122,393,1.6865488821839393e-06
73,0.018452,0.01831,-0.005861,375,1.609302368496125e-06
74,0.017621,0.010426,-0.006939,382,1.6393426793747196e-06
75,0.015026,-0.032549,-0.027626,169,7.252589340689204e-07
76,0.016253,0.012224,0.008072,377,1.6178853144614378e-06
77,0.016819,0.009534,-0.005193,333,1.4290605032245592e-06
78,0.013042,0.018266,-0.007087,348,1.4934325979644041e-06
79,0.016129,-0.032053,-0.026915,170,7.295504070515767e-07
80,0.025789,0.010662,0.022514,256,1.0986170835600215e-06
81,0.013704,0.016685,-0.006177,393,1.6865488821839393e-06
82,0.014609,0.01714,-0.006135,391,1.6779659362186266e-06
83,0.016504,0.012931,0.009382,370,1.5878450035828435e-06
84,0.004686,-0.029048,0.010471,165,7.080930421382951e-07
85,0.018412,-0.012642,-0.0263,272,1.1672806512825228e-06
86,0.016371,0.014398,-0.006007,430,1.8453333825422236e-06
87,0.015424,0.013599,0.010435,365,1.5663876386695618e-06
88,0.011321,-0.016249,0.016354,319,1.3689798814673705e-06
89,0.015388,0.015956,-0.005788,414,1.7766698148197221e-06
90,-0.009362,-0.026774,0.00989,229,9.827473130283004e-07
91,0.008044,-0.020341,0.016889,297,1.274567475848931e-06
92,0.023615,0.009795,0.022275,343,1.4719752330511226e-06
93,0.017978,-0.013701,-0.027041,278,1.1930294891784607e-06
94,0.014379,0.014487,-0.005529,405,1.7380465579758151e-06
95,0.020083,-0.017903,-0.025506,273,1.1715721242651792e-06
96,0.00265,-0.031007,0.016223,150,6.437209473984501e-07
97,0.01249,0.013111,-0.002634,400,1.7165891930625336e-06
98,0.019592,-0.01584,-0.025426,268,1.1501147593518974e-06
99,0.016288,0.011447,0.010846,455,1.952620207108632e-06
100,0.019813,-0.019504,-0.032057,226,9.698728940803315e-07
101,0.013581,0.014769,-0.003949,403,1.7294636120105024e-06
102,0.013023,0.015599,-0.004018,394,1.6908403551665954e-06
103,0.019691,-0.016872,-0.02471,263,1.1286573944386158e-06
104,0.007295,-0.007876,0.017102,285,1.2230698000570552e-06
105,0.015238,0.010741,0.000826,445,1.9097054772820687e-06
106,0.018094,-0.032196,-0.024747,136,5.836403256412614e-07
107,0.015603,0.011496,0.010168,457,1.9612031530739446e-06
108,0.007673,-0.02451,0.015173,212,9.097922723231427e-07
109,0.012359,0.015692,-0.00391,378,1.6221767874440942e-06
110,0.016765,-0.032547,-0.022016,115,4.935193930054784e-07
111,0.012893,0.015886,-0.004828,390,1.6736744632359702e-06
112,0.010956,0.014324,-0.00293,362,1.553513219721593e-06
113,0.011867,0.011755,-0.003757,339,1.4548093411204971e-06
114,0.010156,0.015041,0.001401,333,1.4290605032245592e-06
115,0.014836,0.011142,0.009379,468,2.0084093558831643e-06
116,0.010266,0.014212,-0.001402,347,1.4891411249817478e-06
117,0.009912,0.014581,-0.002228,328,1.4076031383112774e-06
118,0.007718,0.015453,-0.000543,242,1.0385364618028328e-06
119,0.018659,0.01219,0.010184,399,1.7122977200798772e-06
120,0.011302,0.01551,-0.003606,357,1.5320558548083111e-06
121,0.008502,0.016255,-0.00238,252,1.0814511916293961e-06
122,0.010088,0.018782,-0.003976,260,1.1157829754906467e-06
123,0.017206,-0.007284,-0.023453,234,1.0042046779415821e-06
124,0.010211,0.015072,-0.003319,320,1.3732713544500268e-06
125,0.018564,0.010446,0.007335,403,1.7294636120105024e-06
126,0.011721,0.016821,-0.0039,366,1.5706791116522181e-06
127,0.021535,-0.007587,-0.024271,292,1.2531101109356495e-06
128,0.012468,0.017766,-0.005376,349,1.4977240709470605e-06
129,0.016764,-0.00638,-0.022049,208,8.926263803925174e-07
130,0.012055,0.021568,-0.005416,275,1.1801550702304919e-06
131,0.018634,-0.005477,-0.021569,239,1.0256620428548637e-06
132,0.011001,0.019196,-0.004796,276,1.1844465432131482e-06
133,0.018101,-0.006706,-0.021523,233,9.999132049589258e-07
134,0.011395,0.019744,-0.005571,277,1.1887380161958044e-06
135,0.008293,0.005154,-0.029902,514,2.2058171130853558e-06
136,0.009224,0.017594,-0.00291,251,1.0771597186467398e-06
137,0.008929,0.006264,-0.029963,537,2.3045209916864513e-06
138,0.011505,0.018335,-0.004111,313,1.3432310435714325e-06
139,0.008751,0.017527,-0.000572,255,1.0943256105773652e-06
140,0.012203,0.019304,-0.005011,306,1.313190732692838e-06
141,0.009619,0.019441,-0.002321,240,1.02995351583752e-06
142,0.011818,0.021479,-0.003988,259,1.1114915025079904e-06
143,0.011764,0.032268,-0.003863,412,1.7680868688544096e-06
144,0.009508,0.031856,-0.001459,460,1.9740775720219134e-06
145,0.009854,0.030762,-0.002094,442,1.8968310583340994e-06
146,0.020232,-0.017868,-0.027302,278,1.1930294891784607e-06
147,0.005746,0.005515,-0.030591,468,2.0084093558831643e-06
148,0.009044,0.031576,-0.002384,472,2.0255752478137897e-06
149,0.006894,0.005071,-0.030482,491,2.10711323448426e-06
150,0.009,0.029785,-0.004322,391,1.6779659362186266e-06
151,0.008427,0.0304,-0.003086,463,1.9869519909698827e-06
152,0.009734,0.030274,-0.003371,424,1.8195845446462855e-06
153,0.017995,0.015852,-0.003659,453,1.944037261143319e-06
154,0.013793,0.0253,-0.004254,275,1.1801550702304919e-06
155,0.015303,0.029133,-0.006258,305,1.308899259710182e-06
156,0.014964,0.027775,-0.004072,264,1.1329488674212722e-06
157,0.015471,0.030249,-0.007531,327,1.403311665328621e-06
158,0.016097,0.018807,-0.008547,396,1.6994233011319081e-06
159,0.005873,0.0013,-0.026659,342,1.4676837600684662e-06
160,0.01673,0.018955,-0.007038,388,1.6650915172706575e-06
161,0.015565,0.019356,-0.006687,374,1.6050108955134687e-06
162,0.012819,0.032125,-0.00494,374,1.6050108955134687e-06
163,0.014153,0.026376,-0.005769,298,1.2788589488315874e-06
164,0.014506,0.025905,-0.00692,301,1.2917333677795565e-06
165,0.005353,-0.000746,-0.027406,357,1.5320558548083111e-06
166,0.014208,0.01826,-0.006627,377,1.6178853144614378e-06
167,0.022818,0.011216,0.007757,342,1.4676837600684662e-06
168,0.013652,0.024848,-0.006178,288,1.235944219005024e-06
169,0.003654,-0.037913,-0.000171,59,2.531969059767237e-07
170,0.011485,-0.021524,0.009862,159,6.82344204242357e-07
171,0.014402,0.027355,-0.006843,315,1.3518139895367452e-06
172,0.00663,-0.00033,-0.028171,393,1.6865488821839393e-06
173,0.013804,0.025423,-0.007319,299,1.2831504218142438e-06
174,0.013691,0.018895,-0.007696,364,1.5620961656869056e-06
175,0.014566,0.019751,-0.008076,352,1.5105984898950296e-06
176,0.014825,0.028654,-0.008214,334,1.4333519762072156e-06
177,0.013719,0.026013,-0.007846,316,1.3561054625194014e-06
178,0.020956,0.01153,0.004484,373,1.6007194225308126e-06
179,0.015916,0.030747,-0.008301,336,1.441934922172528e-06
180,0.005818,-0.000912,-0.029117,405,1.7380465579758151e-06
181,0.016087,0.029788,-0.009161,324,1.3904372463806522e-06
182,0.003126,-0.000921,-0.029202,385,1.6522170983226884e-06
183,0.016298,0.02964,-0.012486,348,1.4934325979644041e-06
184,0.002521,0.001169,-0.02915,379,1.6264682604267505e-06
185,0.015768,0.028268,-0.0121,321,1.3775628274326832e-06
186,0.016135,0.029477,-0.011015,336,1.441934922172528e-06
187,0.002955,0.000787,-0.030918,383,1.643634152357376e-06
188,0.023419,-0.024092,-0.027141,216,9.269581642537682e-07
189,0.003977,-0.001412,-0.029039,384,1.647925625340032e-06
190,0.014891,0.027209,-0.011838,322,1.3818543004153395e-06
191,0.006571,0.002449,-0.028953,429,1.8410419095595672e-06
192,0.013921,0.026664,-0.010897,331,1.4204775572592465e-06
193,0.015436,0.027875,-0.010226,328,1.4076031383112774e-06
194,0.013548,0.026855,-0.012851,332,1.4247690302419029e-06
195,0.023719,-0.023454,-0.020114,195,8.368372316179851e-07
196,0.006837,-0.000728,-0.030252,413,1.7723783418370658e-06
197,0.014937,0.027623,-0.013056,332,1.4247690302419029e-06
198,0.014086,0.028197,-0.01436,341,1.4633922870858099e-06
199,0.023716,0.011469,0.006359,320,1.3732713544500268e-06
200,0.012481,0.03225,-0.006188,404,1.7337550849931588e-06
201,0.01163,0.031645,-0.009045,441,1.8925395853514433e-06
202,0.007469,0.000319,-0.02912,416,1.7852527607850348e-06
203,0.007317,-0.025616,-0.028272,223,9.569984751323624e-07
204,0.024454,0.011859,0.005321,290,1.2445271649703368e-06
205,0.009475,0.030895,-0.009213,444,1.9054140042994122e-06
206,0.011259,0.030888,-0.004479,380,1.6307597334094069e-06
207,0.005047,-0.002187,-0.029567,398,1.7080062470972209e-06
208,0.011237,0.030621,-0.005865,372,1.5964279495481562e-06
209,0.014176,0.02704,-0.009007,335,1.4376434491898717e-06
210,0.013165,0.024313,-0.008122,292,1.2531101109356495e-06
211,0.012903,0.025264,-0.012068,308,1.3217736786581508e-06
212,0.005308,-0.029557,-0.026028,212,9.097922723231427e-07
213,0.012985,0.022935,-0.009669,277,1.1887380161958044e-06
214,0.026083,0.011881,0.002588,227,9.741643670629879e-07
215,0.012653,0.022917,-0.011563,255,1.0943256105773652e-06
216,0.011507,0.021969,-0.013257,243,1.0428279347854891e-06
217,0.024267,-0.012477,-0.024908,307,1.3174822056754944e-06
218,0.012833,0.021247,-0.011163,272,1.1672806512825228e-06
219,0.01149,-0.033365,-0.016001,71,3.046945817685997e-07
220,0.014132,-0.032202,-0.017798,87,3.7335814949110103e-07
221,0.013537,0.020256,-0.01036,326,1.3990201923459647e-06
222,0.011549,0.020594,-0.005845,276,1.1844465432131482e-06
223,0.012176,0.021207,-0.007268,274,1.1758635972478355e-06
224,0.009626,-0.036568,-0.018691,106,4.5489613616157137e-07
225,0.011618,-0.034519,-0.019815,121,5.192682309014164e-07
226,0.012411,0.021752,-0.010426,256,1.0986170835600215e-06
227,0.012215,0.021216,-0.009054,277,1.1887380161958044e-06
228,0.011207,0.02023,-0.0081,262,1.1243659214559595e-06
229,0.02838,-0.01647,-0.024552,246,1.0557023537334582e-06
230,0.011763,0.019987,-0.009018,287,1.2316527460223677e-06
