,X,Y,Z,n_points_10,corr_dim_10
0,0.0,-100.0,0.0,1,7.631024693995909e-06
1,33.33333206176758,-100.0,0.0,1,7.631024693995909e-06
2,66.66666412353516,-100.0,0.0,1,7.631024693995909e-06
3,100.0,-100.0,0.0,1,7.631024693995909e-06
4,87.5,-75.0,0.0,1,7.631024693995909e-06
5,75.0,-50.0,0.0,1,7.631024693995909e-06
6,62.5,-25.0,0.0,1,7.631024693995909e-06
7,50.0,0.0,0.0,1,7.631024693995909e-06
8,37.5,25.0,0.0,1,7.631024693995909e-06
9,25.0,50.0,0.0,1,7.631024693995909e-06
10,12.5,75.0,0.0,1,7.631024693995909e-06
11,0.0,100.0,0.0,1,7.631024693995909e-06
12,32.82692337036133,-100.0,-5.78827238082886,1,7.631024693995909e-06
13,65.65384674072266,-100.0,-11.57654476165771,1,7.631024693995909e-06
14,98.48077392578125,-100.0,-17.36481857299805,1,7.631024693995909e-06
15,86.1706771850586,-75.0,-15.19421577453613,1,7.631024693995909e-06
16,73.86058044433594,-50.0,-13.02361297607422,1,7.631024693995909e-06
17,61.55048370361328,-25.0,-10.85301113128662,1,7.631024693995909e-06
18,49.24038696289062,0.0,-8.68240928649902,1,7.631024693995909e-06
19,36.93029022216797,25.0,-6.51180648803711,1,7.631024693995909e-06
20,24.62019348144531,50.0,-4.34120464324951,1,7.631024693995909e-06
21,12.31009674072266,75.0,-2.17060232162476,1,7.631024693995909e-06
22,31.32308769226074,-100.0,-11.40067100524902,1,7.631024693995909e-06
23,62.64617538452148,-100.0,-22.80134201049805,1,7.631024693995909e-06
24,93.9692611694336,-100.0,-34.2020149230957,1,7.631024693995909e-06
25,82.22310638427734,-75.0,-29.92676162719727,1,7.631024693995909e-06
26,70.47694396972656,-50.0,-25.65151023864746,1,7.631024693995909e-06
27,58.73078918457031,-25.0,-21.37625885009766,1,7.631024693995909e-06
28,46.9846305847168,0.0,-17.10100746154785,1,7.631024693995909e-06
29,35.23847198486328,25.0,-12.82575511932373,1,7.631024693995909e-06
30,23.4923152923584,50.0,-8.55050373077393,1,7.631024693995909e-06
31,11.7461576461792,75.0,-4.27525186538696,1,7.631024693995909e-06
32,28.86751365661621,-100.0,-16.66666603088379,1,7.631024693995909e-06
33,57.73502731323242,-100.0,-33.33333206176758,1,7.631024693995909e-06
34,86.6025390625,-100.0,-50.0,1,7.631024693995909e-06
35,75.7772216796875,-75.0,-43.75,1,7.631024693995909e-06
36,64.951904296875,-50.0,-37.5,1,7.631024693995909e-06
