,X,Y,Z,n_points_0.01,corr_dim_0.01
0,-0.002313,0.013575,0.013964,130,5.111935481051158e-07
1,-0.004258,0.012313,0.014728,127,4.993967739180746e-07
2,-0.00328,0.012839,0.011516,136,5.347870964791981e-07
3,-0.001276,0.013033,0.013638,139,5.465838706662392e-07
4,-0.001283,0.013619,0.012513,140,5.505161287285863e-07
5,-0.000403,0.013893,0.013934,143,5.623129029156274e-07
6,-0.001199,0.013265,0.011177,133,5.22990322292157e-07
7,-0.001112,0.01306,0.009761,130,5.111935481051158e-07
8,-0.000225,0.014136,0.011253,140,5.505161287285863e-07
9,0.000371,0.01437,0.012336,145,5.701774190403215e-07
10,-0.000106,0.013322,0.010381,136,5.347870964791981e-07
11,-0.001673,0.022085,0.020417,100,3.932258062347045e-07
12,-0.00408,0.021213,0.018185,118,4.640064513569513e-07
13,-0.000589,0.021144,0.018383,124,4.875999997310336e-07
14,-0.004401,0.009721,0.013366,127,4.993967739180746e-07
15,-0.005833,0.010688,0.014924,121,4.758032255439924e-07
16,-0.007117,0.010265,0.013602,124,4.875999997310336e-07
17,0.0005,0.022735,0.02032,106,4.1681935460878675e-07
18,0.000724,0.023512,0.01816,114,4.482774191075631e-07
19,-0.003542,0.01485,0.016551,129,5.072612900427688e-07
20,-0.006005,0.016529,0.017245,122,4.797354836063394e-07
21,-0.006098,0.014676,0.017921,110,4.3254838685817494e-07
22,-0.004417,0.018216,0.014646,129,5.072612900427688e-07
23,-0.007515,0.017856,0.016012,117,4.6007419329460423e-07
24,-0.001383,0.016593,0.012874,140,5.505161287285863e-07
25,-0.001989,0.015283,0.014227,144,5.662451609779744e-07
26,-0.007522,0.012934,0.017391,93,3.656999997982752e-07
27,-0.005398,0.013246,0.01654,113,4.4434516104521605e-07
28,0.000651,0.015451,0.012182,148,5.819741932273626e-07
29,0.000554,0.015236,0.012898,148,5.819741932273626e-07
30,-0.008131,0.010876,0.015864,92,3.617677417359281e-07
31,-0.005858,0.011678,0.016439,112,4.4041290298286903e-07
32,-0.005718,0.020697,0.016229,114,4.482774191075631e-07
33,-0.001786,0.018952,0.016915,133,5.22990322292157e-07
34,-0.007491,0.020211,0.015346,111,4.3648064492052196e-07
35,-0.001678,0.018497,0.014359,143,5.623129029156274e-07
36,0.000454,0.020446,0.015248,136,5.347870964791981e-07
