,X,Y,Z,corr_dim_0.01
159,0.02644,0.028548,0.000546,103
160,0.026792,0.026818,-1e-05,108
161,0.02776,0.027883,-0.001208,97
162,0.001192,0.036784,0.000681,86
163,0.001761,0.035814,0.002356,88
164,-0.024751,0.031131,0.010759,31
165,-0.02285,0.033297,0.009281,49
166,-0.022153,0.029829,0.008397,48
167,-0.015806,0.037011,-0.008133,59
168,0.010132,0.038955,-0.011887,69
169,-0.009963,0.037199,-0.006943,68
170,-0.013777,0.037513,-0.005976,67
171,0.026209,0.030052,0.000967,86
172,0.023567,0.030051,0.000617,106
173,-0.002026,0.037415,-0.005134,75
174,0.019843,0.032244,-0.005721,119
175,0.018794,0.029497,-0.00439,114
176,0.00073,0.034254,0.007375,82
177,-0.002322,0.036138,0.008733,84
178,-0.004553,0.037301,0.007083,72
179,-0.006366,0.036163,0.008008,80
180,-0.00926,0.036019,0.010472,80
181,-0.003486,0.037762,0.005541,71
182,-0.01751,0.025106,0.000831,67
183,0.026971,0.029192,0.002698,87
184,0.025141,0.028792,0.004611,98
185,0.025915,0.027239,0.00265,109
186,0.020574,0.037162,-0.010729,83
187,-0.022715,0.030779,0.00603,55
188,-0.011811,0.035525,0.01402,79
189,-0.008733,0.035165,0.013171,80
190,-0.011704,0.036841,0.010861,71
191,-0.010147,0.038271,0.009129,68
192,0.025105,0.033333,-0.009542,85
193,0.022574,0.033637,-0.009881,97
194,0.023455,0.03217,-0.007508,106
195,-0.00836,0.037557,0.007425,73
196,-0.006263,0.038724,0.00526,68
197,-0.025027,0.030773,0.013986,32
198,0.025805,0.027193,0.000807,107
199,-0.012307,0.03903,0.009449,57
200,-0.01703,0.034516,0.007889,77
201,-0.015299,0.036055,0.004011,73
202,-0.015202,0.035238,0.002736,77
203,-0.001152,0.036992,-0.0084,77
204,0.021248,0.03291,-0.007546,103
205,0.020554,0.034262,-0.006259,106
206,-0.010094,0.038062,-0.000939,65
207,-0.010495,0.037838,-0.00408,60
208,-0.013748,0.038624,-0.002736,64
209,-0.006506,0.037256,-0.00388,58
210,-0.025566,0.033211,0.012347,30
211,-0.020347,0.030418,-0.003583,56
212,-0.018974,0.02857,-0.005216,53
213,0.009768,0.031953,0.003384,122
214,0.010369,0.033698,0.001542,115
215,0.0095,0.037129,-0.012409,85
216,0.01349,0.033873,-0.000908,96
217,0.025083,0.030072,0.002835,94
218,0.021759,0.03155,-0.005371,125
219,-0.004057,0.039348,0.003542,63
220,-0.009048,0.039356,0.007531,66
221,0.013946,0.032031,-0.000207,98
222,-0.00519,0.039377,0.000499,57
223,-0.008926,0.039239,0.005776,67
224,-0.016405,0.037367,-0.006009,63
225,0.008601,0.035797,-7.6e-05,106
226,0.00735,0.036433,-0.002386,100
227,-0.010639,0.039991,0.007244,59
228,-0.013387,0.036776,0.010051,66
229,-0.013397,0.035355,0.011641,75
230,-0.017382,0.025293,0.005337,64
231,-0.016697,0.0238,0.003326,72
232,-0.015495,0.023076,0.004847,65
233,0.014074,0.034273,-0.004046,95
234,0.028422,0.029238,-0.002714,94
235,0.028241,0.030836,-0.000648,78
236,-0.019413,0.033096,-0.000672,64
237,0.006487,0.039607,-0.006067,74
238,0.004499,0.040615,-0.004747,70
239,0.006776,0.038907,-0.004119,84
240,-0.014827,0.033364,0.004321,75
241,-0.000946,0.039435,0.003868,65
242,-0.015289,0.036639,0.002818,74
243,-0.016699,0.036566,0.00195,71
244,-0.013047,0.037667,0.00243,71
245,-0.012994,0.037541,-0.000459,65
246,-0.015699,0.03782,0.00024,67
247,-0.014964,0.02186,0.002068,72
248,-0.012904,0.019501,0.000267,84
249,-0.000726,0.035576,0.006303,80
250,-0.014398,0.033403,0.002492,79
251,-0.015792,0.033933,0.001366,77
252,-0.003227,0.038992,-0.00304,65
253,-0.016872,0.038756,-0.001907,57
254,-0.020893,0.033255,0.015613,63
255,-0.023837,0.033838,0.013943,39
256,-0.01665,0.035087,0.001331,74
257,0.002152,0.037112,-0.008422,83
258,-0.02018,0.027303,0.010601,53
259,0.002849,0.039396,-0.003169,74
260,0.000849,0.040458,-0.002431,64
261,0.009327,0.03788,-0.008641,84
262,-0.017823,0.038163,-0.003397,61
263,-0.002107,0.040035,-0.001506,62
264,-0.011054,0.038267,0.005005,67
265,-0.008856,0.038414,0.002798,69
266,-0.016269,0.038591,-0.004327,62
267,0.008842,0.037788,-0.010913,79
268,-0.000781,0.039754,-0.004224,68
269,0.019534,0.028896,8e-05,122
270,-0.013784,0.035319,0.010406,70
271,-0.014395,0.03444,0.011047,80
272,-0.009464,0.031767,0.019825,115
273,-0.012009,0.031872,0.019786,108
274,-0.011845,0.0324,0.020778,112
275,-0.001832,0.036548,0.005959,73
276,-0.002251,0.037285,0.003815,70
277,-0.014273,0.032682,0.015251,94
278,-0.01527,0.032994,0.017342,98
279,-0.012251,0.03276,0.016334,92
280,-0.014554,0.034706,0.009811,69
281,-0.00928,0.033963,0.015276,79
282,-0.021053,0.029534,0.019975,63
283,-0.013587,0.033938,0.014976,78
284,0.006757,0.036896,-0.004594,94
285,-0.002774,0.038867,0.004096,66
286,-0.000392,0.036549,0.004586,79
287,-0.020732,0.03225,-0.00141,61
288,-0.01457,0.03335,0.012842,88
289,0.007143,0.037577,-0.006267,87
290,-0.0111,0.03157,0.018267,103
291,-0.013267,0.031733,0.018729,107
292,0.005295,0.037399,-0.003739,88
293,0.020504,0.037307,-0.012205,83
294,-0.01704,0.031824,-0.010051,60
295,-0.016338,0.028709,-0.007909,56
296,0.003223,0.036702,-0.001684,88
297,-0.00707,0.033595,0.016789,86
298,-0.00763,0.033731,0.015788,80
299,-0.008849,0.031939,0.016869,98
300,-0.016224,0.035901,0.007607,71
301,-0.015395,0.035271,0.008689,69
302,-0.01529,0.036454,0.007819,65
303,-0.015573,0.033589,0.010043,81
304,0.003318,0.038026,-0.003461,81
305,0.004974,0.038978,-0.003253,78
306,-0.018074,0.029131,0.025613,64
307,-0.024448,0.030977,0.01694,38
308,-0.022672,0.031273,0.018961,49
309,-0.023722,0.033529,0.017102,37
310,0.009532,0.03616,-0.001538,105
311,0.020963,0.033822,-0.011914,103
312,-0.017868,0.032441,0.016016,81
313,-0.018497,0.031393,0.018714,81
314,-0.017126,0.032521,0.018518,85
315,-0.014408,0.036128,0.009107,63
316,-0.016222,0.032534,0.014498,92
317,-0.012363,0.030036,0.024198,101
318,-0.013411,0.030074,0.021066,102
319,-0.018166,0.032957,0.01142,76
320,-0.02527,0.03284,0.015207,31
321,-0.018365,0.024994,0.00873,50
322,-0.019545,0.027832,0.007424,63
323,-0.020392,0.031681,0.020346,67
324,0.022503,0.029302,0.003382,107
325,-0.022028,0.032846,0.018236,51
326,0.004686,0.038709,-0.00755,78
327,0.000204,0.038432,0.000698,77
328,0.014495,0.034158,-0.005623,107
329,0.003272,0.039707,-0.006086,73
330,0.017196,0.028758,-0.002339,90
331,-0.014489,0.022627,0.008561,72
332,-0.016679,0.026172,-0.004412,50
333,0.008496,0.03646,-0.010331,87
334,0.009654,0.035433,-0.013056,90
335,0.01728,0.034672,-0.005792,99
336,0.007789,0.03446,-0.010551,94
337,-0.018962,0.034295,-0.001523,68
338,-0.013416,0.038131,0.005416,67
339,0.00692,0.036038,-0.007938,89
340,-0.014568,0.017847,0.004526,103
341,-0.013481,0.029526,0.025947,87
342,0.016088,0.034054,-0.005764,115
343,-0.014384,0.022363,-0.00259,78
344,0.007554,0.033271,0.008054,120
345,0.020195,0.035431,-0.013109,93
346,-0.007041,0.034346,0.014039,81
347,0.008114,0.031841,0.008055,130
348,-0.019792,0.028758,0.02276,63
349,0.011195,0.032206,0.005384,129
350,0.009237,0.031245,0.006067,135
351,0.011884,0.032938,0.003946,125
352,0.013464,0.033037,0.005559,127
353,0.013455,0.033546,0.003457,119
354,-0.011154,0.021665,0.01254,68
355,-0.012503,0.023442,0.016751,71
356,-0.013414,0.023334,0.012388,65
357,-0.016898,0.024969,0.017741,76
358,-0.019869,0.027681,0.014945,62
359,-0.016518,0.024833,0.012716,63
360,-0.01942,0.027256,0.019571,68
361,-0.016259,0.026364,0.020988,81
362,-0.008397,0.019768,0.013619,75
363,-0.011063,0.019278,0.012166,95
364,-0.010355,0.017969,0.012846,94
365,-0.011826,0.017662,0.010908,101
366,-0.012419,0.017451,0.008626,101
367,-0.012338,0.01584,0.009702,108
368,-0.014382,0.024919,0.020474,79
369,-0.01379,0.01744,0.007496,102
370,-0.014253,0.018735,0.006565,91
371,-0.014818,0.016336,0.005668,116
372,-0.005616,0.020836,0.015694,64
373,-0.008458,0.022085,0.016492,65
374,-0.013756,0.020378,0.005068,80
375,-0.014568,0.017847,0.004526,103
376,-0.014489,0.022627,0.008561,72
377,-0.011936,0.019812,0.009599,88
378,-0.013229,0.02016,0.007429,78
379,-0.014199,0.015567,0.007802,114
380,-0.016078,0.013085,0.007825,120
381,-0.01419,0.014352,0.009951,120
382,-0.02018,0.027303,0.010601,53
383,-0.018365,0.024994,0.00873,50
384,-0.012478,0.018665,0.007595,86
385,-0.015343,0.012281,0.010284,120
386,-0.011736,0.015688,0.011955,116
387,0.005134,0.026099,0.018311,92
388,0.007691,0.027898,0.019084,95
389,0.005324,0.027427,0.019987,87
390,0.000585,0.029526,0.021005,95
391,0.000431,0.028183,0.021651,81
392,0.002646,0.028523,0.021912,86
393,-0.008871,0.023963,0.020115,77
394,-0.008458,0.022085,0.016492,65
395,-0.004736,0.024317,0.020151,80
396,0.001746,0.026713,0.021357,82
397,0.003826,0.026535,0.020935,80
398,0.001784,0.029922,0.021206,92
399,-0.001192,0.029277,0.022283,93
400,9.8e-05,0.023011,0.018399,71
401,-0.000807,0.026343,0.021045,87
402,0.00286,0.030105,0.02139,92
403,0.005036,0.029294,0.020287,93
404,0.004462,0.028008,0.021198,80
405,0.002553,0.025121,0.019331,83
406,-0.003487,0.027689,0.023916,87
407,-0.007395,0.02546,0.023835,99
408,0.004222,0.023377,0.016208,69
409,-0.005539,0.026597,0.023754,103
410,0.005566,0.030689,0.019555,103
411,0.007331,0.030357,0.019194,97
412,0.003747,0.025214,0.017674,86
413,-0.002521,0.021123,0.016287,63
414,-0.005616,0.020836,0.015694,64
415,0.009507,0.030101,0.017893,104
416,0.009205,0.028468,0.016722,114
417,0.007789,0.026484,0.016081,116
418,0.003995,0.031443,0.021189,85
419,-0.000611,0.032554,0.02125,97
420,-0.001377,0.031591,0.023242,94
421,0.001134,0.030909,0.022151,83
422,0.001823,0.032237,0.020646,100
423,-0.002206,0.029959,0.024786,81
424,-0.005622,0.027228,0.026849,75
425,-0.003959,0.030012,0.027175,73
426,0.009187,0.028208,0.015263,128
427,0.01411,0.030442,0.009186,135
428,0.013318,0.031615,0.010926,126
429,0.014878,0.02973,0.010223,137
430,-0.0029,0.035523,0.014008,78
431,0.001114,0.03496,0.013201,106
432,0.00021,0.035674,0.011168,95
433,0.017565,0.028997,0.004014,124
434,0.018252,0.029014,0.002186,120
435,0.017677,0.029678,0.002831,124
436,0.015337,0.029326,0.005891,127
437,0.014724,0.030799,0.007551,135
438,0.016478,0.030082,0.00848,132
439,0.012477,0.03154,0.009177,140
440,0.016476,0.02848,0.007109,135
441,0.01717,0.02818,0.005755,129
442,0.010899,0.031558,0.013879,125
443,0.010438,0.032333,0.011629,133
444,0.009106,0.032621,0.013971,128
445,-0.002322,0.036138,0.008733,84
446,0.015237,0.031577,0.006559,125
447,0.016911,0.030753,0.005162,118
448,0.016118,0.032817,0.004559,120
449,0.005217,0.03436,0.01764,111
