,X,Y,Z,n_points_0.01,corr_dim_0.01
0,-0.004633,-0.028397,0.008447,136,1.7446490587105196e-07
1,-0.00465,-0.028397,0.008486,136,1.7446490587105196e-07
2,-0.004647,-0.028385,0.008457,136,1.7446490587105196e-07
3,-0.00463,-0.027943,0.006846,149,1.9114169834402018e-07
4,-0.003989,-0.028397,0.007004,135,1.7318207568082365e-07
5,-0.005039,-0.028397,0.009792,130,1.6676792472968203e-07
6,-0.005058,-0.02832,0.009746,132,1.6933358511013866e-07
7,-0.005055,-0.028397,0.009872,131,1.6805075491991035e-07
8,-0.005991,-0.028246,0.011585,132,1.6933358511013866e-07
9,-0.005929,-0.028397,0.011734,129,1.654850945394537e-07
10,-0.019126,0.024253,-0.015444,1390,1.7831339644173692e-06
11,-0.019438,0.024332,-0.014804,1384,1.7754369832759993e-06
12,-0.019243,0.024717,-0.015022,1363,1.7484975492812045e-06
13,-0.020026,0.022745,-0.015184,1428,1.8318815116460455e-06
14,-0.019643,0.023058,-0.015092,1432,1.8370128324069588e-06
15,-0.020122,0.023258,-0.015423,1405,1.802376417270794e-06
16,-0.019503,0.021593,-0.014183,1398,1.793396605939196e-06
17,-0.018996,0.021249,-0.014026,1390,1.7831339644173692e-06
18,-0.019109,0.021772,-0.013702,1418,1.8190532097437623e-06
19,-0.021588,0.023354,-0.015496,1341,1.7202752850961815e-06
20,-0.020941,0.023123,-0.015389,1377,1.7664571719444012e-06
21,-0.020645,0.023826,-0.01558,1358,1.742083398330063e-06
22,-0.019082,0.02048,-0.013027,1362,1.7472147190909763e-06
23,-0.019117,0.0198,-0.013147,1337,1.7151439643352683e-06
24,-0.019336,0.020157,-0.012521,1364,1.749780379471433e-06
25,-0.022235,0.02377,-0.015877,1272,1.6317600019704273e-06
26,-0.021369,0.024132,-0.015774,1308,1.6779418888186467e-06
27,-0.022323,0.023046,-0.015629,1299,1.666396417106592e-06
28,-0.021623,0.022334,-0.015099,1373,1.761325851183488e-06
29,-0.02286,0.02327,-0.016255,1247,1.599689247214719e-06
30,-0.018768,0.020073,-0.013715,1346,1.726689436047323e-06
31,-0.022678,0.022434,-0.016043,1285,1.6484367944433953e-06
32,-0.019729,0.020995,-0.012297,1407,1.8049420776512507e-06
33,-0.018571,0.019664,-0.014451,1298,1.6651135869163635e-06
34,-0.018509,0.020357,-0.014231,1355,1.738234907759378e-06
35,-0.018737,0.020735,-0.013763,1380,1.770305662515086e-06
36,-0.019039,0.022109,-0.013211,1434,1.8395784927874156e-06
37,-0.019174,0.021711,-0.013229,1422,1.8241845305046756e-06
38,-0.019598,0.021804,-0.012923,1429,1.833164341836274e-06
39,-0.01918,0.021251,-0.013259,1406,1.8036592474610225e-06
40,-0.019727,0.022478,-0.014745,1432,1.8370128324069588e-06
41,-0.020622,0.022504,-0.015259,1416,1.8164875493633057e-06
42,-0.020123,0.022197,-0.015045,1434,1.8395784927874156e-06
43,-0.019472,0.023439,-0.014809,1421,1.8229017003144474e-06
44,-0.019397,0.023569,-0.015426,1418,1.8190532097437623e-06
45,-0.02036,0.021717,-0.015121,1431,1.8357300022167306e-06
46,-0.018857,0.020795,-0.014364,1384,1.7754369832759993e-06
47,-0.020944,0.022082,-0.015028,1409,1.8075077380317074e-06
48,-0.019589,0.02335,-0.01416,1417,1.8177703795535341e-06
49,-0.019566,0.02384,-0.014497,1403,1.7998107568903375e-06
50,-0.019913,0.021775,-0.014978,1439,1.8459926437385571e-06
51,-0.019567,0.021007,-0.014798,1410,1.8087905682219358e-06
52,-0.019978,0.022093,-0.014844,1439,1.8459926437385571e-06
53,-0.019834,0.021831,-0.01454,1429,1.833164341836274e-06
54,-0.019763,0.023935,-0.015744,1388,1.7805683040369126e-06
55,-0.019507,0.02448,-0.015804,1365,1.7510632096616612e-06
56,-0.019975,0.024379,-0.015895,1349,1.730537926618008e-06
57,-0.018881,0.019617,-0.013757,1311,1.6817903793893318e-06
58,-0.019647,0.022221,-0.014045,1413,1.8126390587926209e-06
59,-0.019693,0.022757,-0.014251,1418,1.8190532097437623e-06
60,-0.019821,0.023866,-0.013823,1399,1.7946794361294242e-06
61,-0.019799,0.024251,-0.014284,1397,1.7921137757489676e-06
62,-0.01947,0.023413,-0.013394,1397,1.7921137757489676e-06
63,-0.020126,0.024503,-0.013769,1369,1.7561945304225744e-06
64,-0.019287,0.02388,-0.014974,1410,1.8087905682219358e-06
65,-0.02003,0.024772,-0.014494,1355,1.738234907759378e-06
66,-0.019517,0.024697,-0.014789,1363,1.7484975492812045e-06
67,-0.019126,0.022389,-0.013678,1415,1.8152047191730775e-06
68,-0.019398,0.022857,-0.013865,1420,1.821618870124219e-06
69,-0.019142,0.02276,-0.013216,1414,1.813921888982849e-06
70,-0.019592,0.023027,-0.014556,1427,1.8305986814558173e-06
71,-0.019055,0.01945,-0.013514,1312,1.68307320957956e-06
72,-0.019384,0.022428,-0.012869,1421,1.8229017003144474e-06
73,-0.019556,0.023,-0.014198,1424,1.8267501908851322e-06
74,-0.017032,-0.006662,0.000177,562,7.209505669083177e-07
75,-0.017051,-0.005752,-0.000181,619,7.940718877513321e-07
76,-0.017018,-0.006446,-0.000519,578,7.414758499519709e-07
77,-0.016461,-0.008269,8.1e-05,511,6.555262272066731e-07
78,-0.015877,-0.009009,0.000608,496,6.362837743532484e-07
79,-0.016726,-0.008748,0.000873,507,6.503949064457599e-07
80,-0.01695,-0.005568,0.0005,644,8.261426425070402e-07
81,-0.01709,-0.005003,7.8e-05,675,8.659103784041181e-07
82,-0.016799,-0.007421,-0.000646,531,6.811828310112396e-07
83,-0.01729,-0.00745,0.000576,526,6.74768680060098e-07
84,-0.017327,-0.006795,0.000668,559,7.171020763376327e-07
